identifier,titulo,url,bloco,orgao,esfera,uf,tipo,status_fonte,fonte_oficial,vigencia_inicio,vigencia_fim,sucessora_ref,validation_keyword,demand_types,observacao_curadoria
Constituição Federal de 1988,Constituição da República Federativa do Brasil de 1988 — art. 225 §3º; arts. 23 e 24,https://www.planalto.gov.br/ccivil_03/constituicao/constituicaocompilado.htm,06,Assembleia Nacional Constituinte,federal,,norma,Fonte oficial validada,true,1988-10-05,,,art. 225,defesa|licenciamento,"URL da planilha (constituicao.htm) vem TRUNCADA no art. 24 §4º e não contém o art. 225 que a própria curadoria invoca; trocada por constituicaocompilado.htm (686.756 chars). Devolver à Isis."
Lei 9.605/1998,Lei de Crimes Ambientais — arts. 70 a 76,https://www.planalto.gov.br/ccivil_03/leis/l9605.htm,06,Congresso Nacional,federal,,norma,Fonte oficial validada,true,1998-02-12,,,9.605,defesa,Já no corpus (pacote A). Mantida a versão anotada — ver observação do 6.514.
Decreto 6.514/2008,Infrações e sanções administrativas ao meio ambiente; processo administrativo federal,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6514.htm,06,Presidência da República,federal,,norma,Fonte oficial validada,true,2008-07-22,,,6.514,defesa|licenciamento,"A planilha aponta para D6514compilado.htm (120.305 chars); mantida a ANOTADA já no corpus (204.183), que traz ""Redação dada pelo..."" inline — é ela que sustenta tempus regit actum (ADR-037). Avaliar a compilada como camada adicional: dívida."
Lei 6.938/1981,Política Nacional do Meio Ambiente — art. 14 §1º (responsabilidade objetiva),https://www.planalto.gov.br/ccivil_03/leis/l6938.htm,06,Congresso Nacional,federal,,norma,Fonte oficial validada,true,1981-08-31,,,6.938,defesa,Idem 6.514 — a planilha aponta a compilada; mantida a anotada do corpus.
LC 140/2011,Competências comuns e ações administrativas ambientais; fiscalização,https://www.planalto.gov.br/ccivil_03/leis/lcp/lcp140.htm,06,Congresso Nacional,federal,,norma,Fonte oficial validada,true,2011-12-08,,,LEI COMPLEMENTAR Nº 140,defesa|licenciamento,Já no corpus (pacote A).
Lei 9.784/1999,Processo administrativo na Administração Pública Federal,https://www.planalto.gov.br/ccivil_03/leis/l9784.htm,06,Congresso Nacional,federal,,norma,Fonte oficial validada,true,1999-01-29,,,9.784,defesa,Já no corpus (pacote A).
Decreto 8.539/2015,Processo administrativo eletrônico na administração pública federal,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/decreto/d8539.htm,06,Presidência da República,federal,,norma,Fonte oficial validada,true,2015-10-08,,,8.539,defesa,NOVA no corpus.
Decreto 9.760/2019,Núcleos de conciliação ambiental — altera o Decreto 6.514/2008,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/D9760.htm,06,Presidência da República,federal,,norma,Fonte oficial validada,true,2019-04-11,2022-05-24,Decreto 11.080/2022,9.760,defesa,"NORMA HISTÓRICA. A planilha marca ""Fonte oficial validada"" sem sinalizar revogação; o próprio texto do Planalto diz ""(Revogado pelo Decreto nº 11.080, de 2022)"" — data 24/05/2022 conferida na fonte. Devolver à Isis: a planilha não tem coluna de vigência."
Decreto 11.373/2023,Conciliação ambiental — altera o Decreto 6.514/2008,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11373.htm,06,Presidência da República,federal,,norma,Fonte oficial validada,true,2023-01-01,,,11.373,defesa,Já no corpus (pacote A).
IN IBAMA 19/2023,Processo administrativo de apuração de infrações ambientais no IBAMA,https://www.in.gov.br/en/web/dou/-/instrucao-normativa-n-19-de-2-de-junho-de-2023-488485031,06,IBAMA,federal,,norma,Fonte oficial validada,true,2023-06-07,,,INSTRUÇÃO NORMATIVA,defesa,"URL da planilha (ibama.gov.br) responde 403 a cliente não-browser; usada a do DOU/Imprensa Nacional, que já está no corpus."
